FID,OBJECTID,NOMBRE_EMP,NOMBRE_FAE,REGIÓN_IN,PROVINCIA,COMUNA_INS,NOMBRE_INS,TIPO_INSTA,RECOBRERSO,UTM_NORTE,UTM_ESTE,COTA,ESTADO_INS,FECHA_RE,RES,FECHA_RES_,RES_PDC,METODO_CON,OBS,NEAR_FID,NEAR_DIST,OBSVCN,Vol_Parcia,Vol_Total_,Ton_Parcia,Ton_Total_,Area_1,NORTE_GEO,ESTE_GEO
34,36,SOC. GUERRERO HERMANOS Y CIA. LTDA.,PLANTA  ARCADIO,III,COPIAPO,COPIAPO,ARCADIO,EMBALSE,COBRE-ORO,"6,967,647.389100000300000","366,008.738000000010000",569.000000000000000,ACTIVO,S/I,S/I, , ,N_A,MURO INTERMEDIO,"64,392","4,061.889748550000100", ,0,0,0,"108,000",0,-27.4079700625666,-70.355363910836
35,672,FERNANDO OLAZO MALDONADO,PLANTA OLAZO,III,COPIAPO,COPIAPO,OLAZO 3,TRANQUE DE RELAVE,S/I,"6,973,237.085099999800000","370,818.032799999990000",0.000000000000000,NO ACTIVO,S/I,S/I, , ,AGUAS ARRIBA,PISCINAS PARA LLUVIA ?,"62,103","2,465.450953300000000", ,0,"8,400",0,"12,600","2,800",-27.3579831645193,-70.3061340055747
36,673,FERNANDO OLAZO MALDONADO,PLANTA OLAZO,III,COPIAPO,COPIAPO,OLAZO 0,TRANQUE DE RELAVE,S/I,"6,973,348.210300000400000","370,704.261699999970000",0.000000000000000,NO ACTIVO,S/I,S/I, , ,AGUAS ARRIBA,PISCINAS PARA LLUVIA ?,"62,103","2,500.236234059999800", ,0,780,0,"1,170",200,-27.3569694092501,-70.3072723006278
37,674,FERNANDO OLAZO MALDONADO,PLANTA OLAZO,III,COPIAPO,COPIAPO,OLAZO 2,TRANQUE DE RELAVE,S/I,"6,973,559.877399999600000","370,505.823800000010000",0.000000000000000,NO ACTIVO,S/I,S/I, , ,AGUAS ARRIBA,PISCINAS PARA LLUVIA ?,"62,103","2,564.328232769999900", ,0,"2,650",0,"3,975",900,-27.3550401540913,-70.3092557543968
38,680,MINERA SIERRA,MINERA SIERRA,II,ANTOFAGASTA,SIERRA GORDA,RELAVE MINERA SIERRA,TRANQUE DE RELAVE,COBRE,"7,468,507.294400000000000","466,593.675999999980000",0.000000000000000,ABANDONADO, , , , , , ,"78,573",312.906497817999990, ,0,0,0,0,0,-22.8910198069841,-69.3257119805327
39,37,LOS COBRES DE ATACAMA,PLANTA LICEO MANUEL MALAGAES,III,CHAÑARAL,DIEGO DE ALMAGRO,TRANQUE DE RELAVE,TRANQUE DE RELAVE,COBRE,"7,080,786.044700000400000","394,955.608499999970000",817.000000000000000,ABANDONADO,S/I,S/I, , , , ,"39,242",783.343113453999990, ,0,0,0,0,0,-26.3891857026641,-70.0530868618443
40,38,MAYA ENTERPRISES LTDA.,PLANTA ANDACOLLO,III,COPIAPO,COPIAPO,TRANQUE DE RELAVE,EMBALSE,COBRE,"6,966,458.398400000300000","362,859.075900000000000",591.000000000000000,NO ACTIVO,S/I,S/I, , ,N_A, ,"61,986","3,234.926222019999800", ,0,0,0,0,0,-27.4183879404635,-70.3873503256479
41,39,SCM SAN SEBASTIAN,PLANTA ANDREA,III,COPIAPO,COPIAPO,TRANQUE DE RELAVE,TRANQUE DE RELAVE,ORO-COBRE,"6,970,997.228400000400000","372,402.858699999980000",532.000000000000000,NO ACTIVO,S/I,S/I, , , , ,"62,103","2,028.220802670000000", ,0,0,0,0,0,-27.3783486736217,-70.2903479019876
42,40,INVERSIONES NUTRAM S.A.,PLANTA COBRE NORTE,III,HUASCO,VALLENAR,COBRE NORTE,TRANQUE DE RELAVE,COBRE,"6,840,803.416799999800000","330,028.488799999990000",0.000000000000000,ACTIVO,08-09-2008,763, , ,AGUAS ABAJO, ,"41,376",890.317953338000050, ,"214,682","439,215","322,023","672,000",0,-28.548497899855,-70.7374458931728
43,43,ELIAS RESK CONTRERAS (SOC. MINERA SANTA TERESA),PLANTA SANTA TERESA,III,COPIAPO,COPIAPO,SANTA TERESA 1,TRANQUE DE RELAVE,ORO,"6,968,917.417000000400000","366,913.702099999990000",460.000000000000000,NO ACTIVO,S/I,531, , ,EJE CENTRAL,"ERAN 4 TRANQUES, SE OBSERVA 1 Y 2.","64,392","2,527.005742649999800", ,0,"4,050",0,"6,075","1,800",-27.3965959877721,-70.3460730683581
44,44,PLANTA MONSERRAT,PLANTA MONSERRAT,III,COPIAPO,COPIAPO,MONSERRAT,TRANQUE DE RELAVE,ORO,"6,967,256.054600000400000","365,659.853999999990000",548.000000000000000,NO ACTIVO,S/I,S/I, , ,AGUAS ABAJO, ,"64,392","4,556.914093059999700", ,"33,890","66,667","50,836","100,000","6,600",-27.4114677193455,-70.3589353980217
45,45,SOC. GUERRERO HERMANOS Y CIA. LTDA.,PLANTA ARCADIO,III,COPIAPO,COPIAPO,ARCADIO 1,TRANQUE DE RELAVE,ORO,"6,969,517.076700000100000","367,503.307299999990000",548.000000000000000,NO ACTIVO,S/I,S/I, , ,AGUAS ARRIBA,"CORROBORAR DATOS, MUY BAJOS","64,392","1,695.568148740000000", ,0,250,0,375,0,-27.3912411055155,-70.3400456922658
46,46,SOC. CONTRACTUAL MINERA ALIANZA,PLANTA VIÑITA AZUL,III,COPIAPO,COPIAPO,TRANQUE 2,TRANQUE DE RELAVE,COBRE,"6,966,696.689399999600000","369,586.899500000000000",440.000000000000000,ACTIVO,08-01-1985,30,N_A,N_A, ,"DATOS DESACTUALIZADOS, LEVANTAR.","64,392","1,646.873514039999900", ,0,"11,900",0,"17,255",0,-27.4168977944229,-70.319279504436
47,47,INVERSIONES E INMOBILARIA COYANCURA LTDA.,PLANTA COYANCURA,III,COPIAPO,TIERRA AMARILLA,EMBALSE DE RELAVES,EMBALSE,COBRE,"6,894,598.284000000000000","398,280.770000000020000","2,130.000000000000000",ACTIVO,12-03-2014,190,19-03-2014,212,N_A, ,"64,031",32.343579429700000, ,0,0,0,0,0,-28.0701139813838,-70.0351858012794
48,48,SCM  ATACAMA KOZAN,KOZAN,III,COPIAPO,COPIAPO,EL GATO,TRANQUE DE RELAVE,COBRE,"6,971,182.011199999600000","374,840.479799999970000",0.000000000000000,ACTIVO,17-05-2013,218,06-10-2015,2498,AGUAS ABAJO, ,"62,103",65.101299566400002, ,"10,749,171","14,200,000","16,123,756","21,300,000","460,868",-27.3769065658887,-70.2656829822654
49,49,SOTRATEC-MINART LTDA.,PLANTA EL CATEADOR,III,COPIAPO,COPIAPO,TRANQUE DE RELAVE,TRANQUE DE RELAVE,COBRE,"6,967,554.718600000300000","366,021.323399999990000",540.000000000000000,NO ACTIVO,S/I,S/I, , , , ,"64,392","4,088.492943589999900", ,0,0,0,0,0,-27.4088077003272,-70.3552468407388
50,50,SLM NENITA PRIMERA,PLANTA NENITA I,III,CHAÑARAL,DIEGO DE ALMAGRO,TRANQUE DE RELAVE,EMBALSE,ORO,"7,040,896.911799999900000","410,306.000999999990000","1,592.000000000000000",ACTIVO,S/I,S/I, , , ,EXCEDE CAPACIDAD,"59,690",920.737282607999990, ,0,0,0,0,0,-26.7503552417982,-69.9020292417237
51,51,SLM ESCONDIDA UNA DE LAS SIERRAS RAJO DE ORO,PLANTA CANDELARIA,III,COPIAPO,COPIAPO,CANDELARIA 1,TRANQUE DE RELAVE,COBRE,"6,965,791.207700000100000","369,994.255200000010000",479.000000000000000,NO ACTIVO,S/I,S/I, , , , ,"64,392","2,132.326081029999800", ,0,0,0,0,0,-27.425109296252,-70.3152563440691
52,53,COMERCIAL LEDESMA REPRESENTACIONES,PLANTA ANDREA,III,COPIAPO,COPIAPO,PLANTA ANDREA,EMBALSE,ORO-COBRE,"6,970,938.957399999700000","372,382.614400000020000",523.000000000000000,NO ACTIVO,S/I, , , ,N_A, ,"62,103","2,072.744825249999800", ,0,0,0,0,0,-27.3788727236557,-70.2905586875296
53,54,CIA. MINERA MANTOS DE ORO,LA COIPA,III,COPIAPO,COPIAPO,RAHCO,FILTRADO,ORO-PLATA,"7,032,394.334099999600000","471,945.216799999990000","3,658.000000000000000",ACTIVO,14-02-2005,562,17-11-2015,2875,N_A,EXCEDIO CAPACIDAD,"59,547","1,162.491394319999900", ,"806,008,049","86,000,000","120,912,074","129,600,000","130,000",-26.8297116342893,-69.2823422923402
54,55,FRANCISCO AGUIRRE,PLANTA CORONA,III,COPIAPO,COPIAPO,CORONA,TRANQUE DE RELAVE,COBRE,"6,969,553.876000000200000","367,809.331400000020000",411.000000000000000,ACTIVO,02-06-1986,571,N_A,N_A,EJE CENTRAL, ,"64,392","1,429.440682590000100", ,0,"73,000",0,"109,500","7,020",-27.3909386599885,-70.3369473127548
55,56,CIA. MINERA FORTUNA LTDA.,PLANTA PUERTO RICO,III,COPIAPO,COPIAPO,PUERTO RICO 0-1-2,TRANQUE DE RELAVE,COBRE,"6,969,690.443599999900000","367,241.545300000000000",0.000000000000000,NO ACTIVO,S/I,176, , ,EJE CENTRAL,AHORA HAY EMBALSES. VOL = 0+1+2,"64,392","1,792.811987849999900", ,0,"46,800",0,"70,200","3,800",-27.3896509135179,-70.3426736109159
56,57,CIA. MINERA MANTOS DE ORO,LA COIPA,III,COPIAPO,COPIAPO,RAKITO,TRANQUE DE RELAVE,ORO-PLATA,"7,031,974.980299999900000","472,576.327400000010000","3,734.000000000000000",NO ACTIVO,XX-XX-1990,777,17-11-2015,2875, , ,"59,547",702.258340482999980, ,0,"581,000",0,"842,450","408,838",-26.8335103871333,-69.2760000551261
57,58,MINEX S.A.,PLANTA SAN EDUARDO,III,COPIAPO,COPIAPO,EMBALSE DE RELAVE,EMBALSE,COBRE,"6,966,948.218799999900000","365,978.997500000000000",482.000000000000000,ACTIVO,20-03-2015,124, , , , ,"64,392","4,440.276639370000300", ,0,"4,062",0,"5,100","1,900",-27.4142775198884,-70.3557417158699
58,809,SOC. MINERA SAN JOAQUIN,PLANTA SAN JOAQUIN,III,COPIAPO,TIERRA AMARILLA,SAN JOAQUIN 1,TRANQUE DE RELAVE,COBRE-ORO,"6,963,819.665099999900000","374,324.888400000000000",0.000000000000000,NO ACTIVO,S/I,S/I, , ,AGUAS ARRIBA,SE OBSERVA 1 DEPOSITO MAS,"64,392",223.164888753000010, ,0,"13,000",0,"19,500","7,000",-27.4433105137003,-70.2716565756869
59,810,SOC. MINERA SAN JOAQUIN,PLANTA SAN JOAQUIN,III,COPIAPO,TIERRA AMARILLA,SAN JOAQUIN 2,TRANQUE DE RELAVE,COBRE-ORO,"6,963,864.115199999900000","374,230.167399999980000",0.000000000000000,NO ACTIVO,S/I,S/I, , ,AGUAS ARRIBA,SE OBSERVA 1 DEPOSITO MAS,"64,392",324.076085596999970, ,0,"8,500",0,"12,750","4,000",-27.4429005668061,-70.2726102242956
60,59,CIA. MINERA FALDA VERDE,PLANTA FALDA VERDE,III,CHAÑARAL,CHAÑARAL,FALDA VERDE,EMBALSE,COBRE,"7,087,855.906899999800000","339,751.688700000000000",0.000000000000000,NO ACTIVO,11-08-2011,2417, , ,N_A, ,"39,242",973.029389993999980, ,0,"333,334",0,"500,000","46,965",-26.3202333289631,-70.6054892881172
61,61,COEMIN S.A.,PLANTA CERRILLOS,III,COPIAPO,TIERRA AMARILLA,CERRILLOS,TRANQUE DE RELAVE,COBRE,"6,949,582.947599999600000","377,987.160600000000000",631.000000000000000,ACTIVO,27-11-2013,817,08-07-2015,1789,EJE CENTRAL, ,"61,162",93.488114793700007, ,"5,340,000","4,617,000","8,010,000","6,925,500","139,643",-27.5721419971781,-70.2360419036483
62,62,CIA. EXPLORACION DE MINAS SAN ANDRES,PLANTA ELISA DE BORDOS,III,COPIAPO,TIERRA AMARILLA,ELISA DE BORDOS 2,TRANQUE DE RELAVE,COBRE,"6,933,657.915799999600000","382,786.507199999990000",756.000000000000000,NO ACTIVO, ,S/I, , , ,DEP. EMERGENCIA - HEREDADO DE ENAMI,"64,392",726.361328107999950, ,0,0,0,0,"74,468",-27.7163024718093,-70.188984433071
